TRIP_NUMBER,VEHICAL_ID,CARD_DRIVER,PICKUP_DATETIME,PICKUP_LATITUDE,PICKUP_LONGTITUDE,DROPOFF_DATETIME,DROPOFF_LATITUDE,DROPOFF_LONGTITUDE,METER_FARE,COUNT,,,,,,,,,,
3,2004,RUETAN,2020-05-22 18:04:08.000,13.71799,100.23975,2020-05-22 18:28:37.000,13.78598,100.27622,153,1,,,,,,,,,,
4,2004,RUETAN,2020-05-22 18:48:30.000,13.80248,100.30477,2020-05-22 19:06:38.000,13.80474,100.31997,65,1,,,,,,,,,,
5,2004,RUETAN,2020-05-22 19:53:03.000,13.71583,100.29806,2020-05-22 20:16:03.000,13.80332,100.3194,123,1,,,,,,,,,,
6,2004,RUETAN,2020-05-22 20:23:01.000,13.8013,100.3202,2020-05-22 21:04:38.000,13.72719,100.51419,255,1,,,,,,,,,,
1,2012,KHONGY,2020-05-22 19:13:01.000,14.11194,100.62013,2020-05-22 19:28:06.000,14.12316,100.61901,57,1,,,,,,,,,,
2,2012,KHONGY,2020-05-22 19:51:55.000,14.07511,100.618,2020-05-22 19:55:51.000,14.04879,100.61696,47,1,,,,,,,,,,
3,2012,KHONGY,2020-05-22 20:03:49.000,14.04879,100.61696,2020-05-22 20:20:35.000,13.97398,100.57415,103,1,,,,,,,,,,
4,2012,KHONGY,2020-05-22 20:33:44.000,13.94675,100.54538,2020-05-22 21:09:15.000,13.85637,100.54196,121,1,,,,,,,,,,
2,2013,MUNKON,2020-05-22 19:30:24.000,13.80572,100.54796,2020-05-22 19:47:26.000,13.78313,100.54816,71,1,,,,,,,,,,
3,2013,MUNKON,2020-05-22 19:54:37.000,13.79418,100.54951,2020-05-22 20:03:23.000,13.82836,100.55207,57,1,,,,,,,,,,
4,2013,MUNKON,2020-05-22 20:05:08.000,13.82334,100.54899,2020-05-22 20:34:01.000,13.77532,100.56237,115,1,,,,,,,,,,
5,2013,MUNKON,2020-05-22 20:48:04.000,13.8216,100.57453,2020-05-22 20:52:10.000,13.81578,100.56165,45,1,,,,,,,,,,
6,2013,MUNKON,2020-05-22 20:52:15.000,13.81578,100.56165,2020-05-22 20:58:08.000,13.79673,100.56602,47,1,,,,,,,,,,
1,2021,UNKNOWN,2020-05-22 18:03:11.000,13.72646,100.54354,2020-05-22 18:12:15.000,13.7379,100.51657,53,1,,,,,,,,,,
2,2021,UNKNOWN,2020-05-22 18:29:34.000,13.73981,100.52241,2020-05-22 19:03:03.000,13.74649,100.53096,91,1,,,,,,,,,,
3,2021,UNKNOWN,2020-05-22 19:15:00.000,13.74593,100.53476,2020-05-22 20:38:50.000,13.75422,100.53283,195,1,,,,,,,,,,
4,2021,UNKNOWN,2020-05-22 20:56:30.000,13.75648,100.53316,2020-05-22 21:20:03.000,13.82516,100.5306,95,1,,,,,,,,,,
10,2024,SUPHAK,2020-05-22 18:08:40.000,13.67545,100.54458,2020-05-22 18:57:45.000,13.72245,100.55241,125,1,,,,,,,,,,
11,2024,SUPHAK,2020-05-22 19:06:18.000,13.72424,100.54889,2020-05-22 19:43:09.000,13.72356,100.5144,107,1,,,,,,,,,,
12,2024,SUPHAK,2020-05-22 19:46:38.000,13.72297,100.51654,2020-05-22 19:57:21.000,13.7113,100.51546,49,1,,,,,,,,,,
13,2024,SUPHAK,2020-05-22 20:45:21.000,13.7223,100.53184,2020-05-22 20:53:04.000,13.72633,100.51548,49,1,,,,,,,,,,
7,2026,KANATH,2020-05-22 18:20:42.000,13.68242,100.47842,2020-05-22 18:53:46.000,13.66409,100.42863,107,1,,,,,,,,,,
8,2026,KANATH,2020-05-22 19:38:29.000,13.69932,100.46276,2020-05-22 19:54:48.000,13.69124,100.48128,61,1,,,,,,,,,,
9,2026,KANATH,2020-05-22 20:36:45.000,13.74271,100.5071,2020-05-22 21:12:34.000,13.74673,100.52834,103,1,,,,,,,,,,
3,2028,HONGWI,2020-05-22 18:05:19.000,13.92143,100.65532,2020-05-22 18:35:30.000,13.89154,100.62586,91,1,,,,,,,,,,
4,2028,HONGWI,2020-05-22 18:43:00.000,13.89345,100.61595,2020-05-22 19:13:59.000,13.92391,100.66256,91,1,,,,,,,,,,
5,2028,HONGWI,2020-05-22 19:36:16.000,13.90957,100.61683,2020-05-22 19:46:30.000,13.90651,100.62907,49,1,,,,,,,,,,
6,2028,HONGWI,2020-05-22 20:02:18.000,13.90648,100.61507,2020-05-22 20:19:57.000,13.8388,100.57518,85,1,,,,,,,,,,
7,2028,HONGWI,2020-05-22 20:21:48.000,13.83516,100.57279,2020-05-22 20:35:02.000,13.86043,100.55946,67,1,,,,,,,,,,
8,2028,HONGWI,2020-05-22 20:54:31.000,13.83898,100.55793,2020-05-22 21:09:34.000,13.81116,100.53354,73,1,,,,,,,,,,
5,2034,MENEEK,2020-05-22 18:45:04.000,13.70657,100.30031,2020-05-22 18:59:59.000,13.73084,100.2491,79,1,,,,,,,,,,
2,2040,VICHIA,2020-05-22 19:54:39.000,13.69303,100.45544,2020-05-22 20:26:14.000,13.6708,100.49751,109,1,,,,,,,,,,
3,2040,VICHIA,2020-05-22 20:50:58.000,13.70021,100.48386,2020-05-22 21:14:26.000,13.77027,100.48496,97,1,,,,,,,,,,
7,2042,PHIMPH,2020-05-22 18:29:14.000,13.68169,100.43934,2020-05-22 20:04:13.000,13.57898,100.55472,283,1,,,,,,,,,,
8,2042,PHIMPH,2020-05-22 20:56:17.000,13.69079,100.48115,2020-05-22 21:11:45.000,13.69995,100.53151,85,1,,,,,,,,,,
6,2043,KHUNPR,2020-05-22 18:14:30.000,13.74573,100.50955,2020-05-22 18:56:00.000,13.69513,100.49914,119,1,,,,,,,,,,
7,2043,KHUNPR,2020-05-22 19:12:09.000,13.70764,100.52674,2020-05-22 19:25:54.000,13.71799,100.52702,55,1,,,,,,,,,,
8,2043,KHUNPR,2020-05-22 19:34:14.000,13.72023,100.52549,2020-05-22 20:03:47.000,13.71546,100.48001,83,1,,,,,,,,,,
7,2000,KHONPH,2020-09-25 18:18:57.000,13.73975,100.51094,2020-09-25 18:49:03.000,13.69402,100.48273,93,1,,,,,,,,,,
8,2000,KHONPH,2020-09-25 18:57:00.000,13.69043,100.4812,2020-09-25 19:19:15.000,13.68632,100.44486,75,1,,,,,,,,,,
9,2000,KHONPH,2020-09-25 20:05:21.000,13.66677,100.42386,2020-09-25 20:27:31.000,13.70556,100.47868,83,1,,,,,,,,,,
10,2000,KHONPH,2020-09-25 20:37:50.000,13.71971,100.48691,2020-09-25 20:58:29.000,13.66878,100.45957,85,1,,,,,,,,,,
10,2002,BOONMA,2020-09-25 20:29:52.000,13.69974,100.37744,2020-09-25 20:34:24.000,13.70672,100.37795,37,1,,,,,,,,,,
4,2004,RUETAN,2020-09-25 19:12:57.000,13.54534,100.27479,2020-09-25 19:19:15.000,13.55347,100.27967,43,1,,,,,,,,,,
5,2004,RUETAN,2020-09-25 19:19:22.000,13.55347,100.27967,2020-09-25 19:48:38.000,13.58372,100.37949,125,1,,,,,,,,,,
6,2004,RUETAN,2020-09-25 20:18:57.000,13.54542,100.27482,2020-09-25 20:42:00.000,13.64661,100.32295,129,1,,,,,,,,,,
